filename,area,tilt_degree,bounding_box_coordinates,four_vertices_locations,license_plate_number,brightness,blurriness
3025393880208333334-90_99-186&455_455&550-442&549_186&550_198&455_455&456-0_0_3_24_28_33_29_32-37-28.jpg,3025393880208333334,90_99,186&455_455&550,442&549_186&550_198&455_455&456,0_0_3_24_28_33_29_32,37,28
0207139756944-90_90-238&395_468&485-468&481_238&485_238&395_466&395-0_0_5_24_24_25_29_24-181-31.jpg,0207139756944,90_90,238&395_468&485,468&481_238&485_238&395_466&395,0_0_5_24_24_25_29_24,181,31
0211176215278-90_268-209&479_472&560-472&555_211&560_209&481_472&479-0_0_3_26_24_31_31_30-168-125.jpg,0211176215278,90_268,209&479_472&560,472&555_211&560_209&481_472&479,0_0_3_26_24_31_31_30,168,125
303989583333333333-89_92-138&409_521&514-520&505_142&514_138&411_521&409-0_0_3_24_25_24_30_29-85-133.jpg,303989583333333333,89_92,138&409_521&514,520&505_142&514_138&411_521&409,0_0_3_24_25_24_30_29,85,133
0222417534722-90_258-202&404_479&485-479&485_216&479_202&404_474&407-0_0_3_25_26_27_30_32-150-181.jpg,0222417534722,90_258,202&404_479&485,479&485_216&479_202&404_474&407,0_0_3_25_26_27_30_32,150,181
0132530381944-87_263-272&381_469&449-469&448_280&449_272&395_468&381-0_0_3_25_27_32_32_32-153-136.jpg,0132530381944,87_263,272&381_469&449,469&448_280&449_272&395_468&381,0_0_3_25_27_32_32_32,153,136
0309375-90_93-217&438_569&527-566&527_221&525_217&438_569&441-0_0_3_25_26_27_28_30-124-21.jpg,0309375,90_93,217&438_569&527,566&527_221&525_217&438_569&441,0_0_3_25_26_27_28_30,124,21
0332421875-91_261-163&396_496&496-496&496_174&489_163&396_494&407-0_0_3_24_26_28_27_33-103-142.jpg,0332421875,91_261,163&396_496&496,496&496_174&489_163&396_494&407,0_0_3_24_26_28_27_33,103,142
0288747829861-92_266-206&400_505&497-502&497_208&486_206&400_505&413-0_0_3_24_25_27_32_32-100-121.jpg,0288747829861,92_266,206&400_505&497,502&497_208&486_206&400_505&413,0_0_3_24_25_27_32_32,100,121
3038043619791666664-91_94-170&426_547&528-540&528_188&520_170&426_547&432-0_0_3_26_27_24_30_32-144-388.jpg,3038043619791666664,91_94,170&426_547&528,540&528_188&520_170&426_547&432,0_0_3_26_27_24_30_32,144,388
030017361111111113-92_270-204&395_508&494-494&489_204&494_206&395_508&407-0_0_5_25_32_32_32_30-113-259.jpg,030017361111111113,92_270,204&395_508&494,494&489_204&494_206&395_508&407,0_0_5_25_32_32_32_30,113,259
016041666666666666-92_257-193&485_417&558-417&558_204&550_193&485_406&494-0_0_3_24_29_30_29_24-160-91.jpg,016041666666666666,92_257,193&485_417&558,417&558_204&550_193&485_406&494,0_0_3_24_29_30_29_24,160,91
0129557291667-90_267-254&418_453&483-453&483_254&471_256&421_443&418-0_0_3_24_31_29_31_27-115-18.jpg,0129557291667,90_267,254&418_453&483,453&483_254&471_256&421_443&418,0_0_3_24_31_29_31_27,115,18
05265842013888889-90_266-159&470_581&596-581&596_166&593_159&470_579&472-0_0_3_25_30_25_25_30-131-496.jpg,05265842013888889,90_266,159&470_581&596,581&596_166&593_159&470_579&472,0_0_3_25_30_25_25_30,131,496
01177734375-90_268-219&458_420&517-420&516_220&517_219&458_418&458-0_0_3_17_25_24_32_29-89-54.jpg,01177734375,90_268,219&458_420&517,420&516_220&517_219&458_418&458,0_0_3_17_25_24_32_29,89,54
00998697916667-90_265-226&468_403&525-403&523_230&525_226&470_397&468-0_0_3_24_28_29_32_32-122-27.jpg,00998697916667,90_265,226&468_403&525,403&523_230&525_226&470_397&468,0_0_3_24_28_29_32_32,122,27
0236067708333-91_270-230&458_489&550-488&550_230&542_231&458_489&467-0_0_5_24_31_24_32_33-98-7.jpg,0236067708333,91_270,230&458_489&550,488&550_230&542_231&458_489&467,0_0_5_24_31_24_32_33,98,7
3040078125-92_89-179&470_521&588-520&588_182&575_179&470_521&481-0_0_3_26_33_31_32_33-95-197.jpg,3040078125,92_89,179&470_521&588,520&588_182&575_179&470_521&481,0_0_3_26_33_31_32_33,95,197
02384765625-90_264-196&419_493&500-493&500_203&495_196&419_488&420-0_0_3_24_28_25_32_31-91-103.jpg,02384765625,90_264,196&419_493&500,493&500_203&495_196&419_488&420,0_0_3_24_28_25_32_31,91,103
3020401475694444445-90_90-274&470_512&557-512&555_274&557_275&470_512&472-0_0_3_26_27_30_27_30-144-175.jpg,3020401475694444445,90_90,274&470_512&557,512&555_274&557_275&470_512&472,0_0_3_26_27_30_27_30,144,175
0142860243056-89_253-209&420_436&483-436&477_226&483_209&425_424&420-0_0_3_24_29_28_32_28-98-47.jpg,0142860243056,89_253,209&420_436&483,436&477_226&483_209&425_424&420,0_0_3_24_29_28_32_28,98,47
306364149305555555-90_94-114&481_587&617-579&615_114&617_116&481_587&483-0_0_3_25_24_24_32_26-177-484.jpg,306364149305555555,90_94,114&481_587&617,579&615_114&617_116&481_587&483,0_0_3_25_24_24_32_26,177,484
30196875-90_92-245&472_497&551-495&551_255&551_245&472_497&477-0_0_3_24_30_29_32_33-76-71.jpg,30196875,90_92,245&472_497&551,495&551_255&551_245&472_497&477,0_0_3_24_30_29_32_33,76,71
0223958333333-91_270-303&477_543&571-536&571_303&570_304&477_543&484-0_0_3_24_26_29_30_27-94-92.jpg,0223958333333,91_270,303&477_543&571,536&571_303&570_304&477_543&484,0_0_3_24_26_29_30_27,94,92
0159505208333-88_265-218&489_428&565-427&550_218&565_221&500_428&489-0_0_3_24_25_30_28_28-84-14.jpg,0159505208333,88_265,218&489_428&565,427&550_218&565_221&500_428&489,0_0_3_24_25_30_28_28,84,14
015223524305555555-90_259-297&447_527&514-527&514_307&511_297&449_514&447-0_0_3_24_28_33_29_32-133-102.jpg,015223524305555555,90_259,297&447_527&514,527&514_307&511_297&449_514&447,0_0_3_24_28_33_29_32,133,102
0248589409722-88_251-269&445_559&531-559&527_295&531_269&456_536&445-0_0_3_25_24_26_24_32-131-267.jpg,0248589409722,88_251,269&445_559&531,559&527_295&531_269&456_536&445,0_0_3_25_24_26_24_32,131,267
3015287543402777777-90_94-264&472_457&552-457&552_264&550_268&472_453&483-0_0_5_24_24_26_30_30-119-67.jpg,3015287543402777777,90_94,264&472_457&552,457&552_264&550_268&472_453&483,0_0_5_24_24_26_30_30,119,67
0203949652778-91_265-227&399_481&480-481&480_232&478_227&399_479&404-0_0_3_24_33_33_31_29-85-84.jpg,0203949652778,91_265,227&399_481&480,481&480_232&478_227&399_479&404,0_0_3_24_33_33_31_29,85,84
0231434461806-89_267-222&348_499&432-499&425_226&432_222&355_497&348-0_0_3_17_24_33_29_25-149-221.jpg,0231434461806,89_267,222&348_499&432,499&425_226&432_222&355_497&348,0_0_3_17_24_33_29_25,149,221
0125-91_262-154&383_346&448-346&448_160&441_154&383_340&387-0_0_3_24_30_30_33_25-79-39.jpg,0125,91_262,154&383_346&448,346&448_160&441_154&383_340&387,0_0_3_24_30_30_33_25,79,39
020859375-90_269-232&449_499&528-497&526_233&528_232&453_499&449-0_0_3_24_31_25_26_27-74-15.jpg,020859375,90_269,232&449_499&528,497&526_233&528_232&453_499&449,0_0_3_24_31_25_26_27,74,15
0155620659722-88_270-252&413_454&491-454&478_254&491_252&423_451&413-0_0_3_25_25_25_31_26-91-58.jpg,0155620659722,88_270,252&413_454&491,454&478_254&491_252&423_451&413,0_0_3_25_25_25_31_26,91,58
017158203125-90_262-251&490_502&559-500&559_259&558_251&490_502&490-0_0_3_24_32_30_31_28-86-90.jpg,017158203125,90_262,251&490_502&559,500&559_259&558_251&490_502&490,0_0_3_24_32_30_31_28,86,90
02294921875-87_94-251&474_486&573-485&559_251&573_258&474_486&478-0_0_5_24_31_24_32_33-104-15.jpg,02294921875,87_94,251&474_486&573,485&559_251&573_258&474_486&478,0_0_5_24_31_24_32_33,104,15
0205891927083-91_263-174&436_427&518-427&518_180&505_174&436_419&443-0_0_3_24_25_31_32_33-112-91.jpg,0205891927083,91_263,174&436_427&518,427&518_180&505_174&436_419&443,0_0_3_24_25_31_32_33,112,91
3020030381944444446-90_101-194&456_454&534-454&534_211&532_194&456_441&459-0_0_3_24_33_30_30_25-84-25.jpg,3020030381944444446,90_101,194&456_454&534,454&534_211&532_194&456_441&459,0_0_3_24_33_30_30_25,84,25
02056640625-91_258-204&411_447&496-447&496_216&482_204&411_437&416-0_0_3_24_26_29_32_24-89-79.jpg,02056640625,91_258,204&411_447&496,447&496_216&482_204&411_437&416,0_0_3_24_26_29_32_24,89,79
0304296875-90_93-165&470_534&553-531&553_185&549_165&471_534&470-0_0_3_24_32_32_29_33-67-282.jpg,0304296875,90_93,165&470_534&553,531&553_185&549_165&471_534&470,0_0_3_24_32_32_29_33,67,282
0261588541667-92_260-134&482_421&574-421&574_144&562_134&482_417&493-0_0_3_24_33_33_33_33-67-27.jpg,0261588541667,92_260,134&482_421&574,421&574_144&562_134&482_417&493,0_0_3_24_33_33_33_33,67,27
01796875-91_258-252&454_482&532-482&532_264&522_252&454_468&461-0_0_3_26_32_31_32_29-130-106.jpg,01796875,91_258,252&454_482&532,482&532_264&522_252&454_468&461,0_0_3_26_32_31_32_29,130,106
0193684895833-91_90-269&491_524&567-519&567_269&564_269&491_524&496-0_0_3_17_24_33_29_33-92-226.jpg,0193684895833,91_90,269&491_524&567,519&567_269&564_269&491_524&496,0_0_3_17_24_33_29_33,92,226
0257291666667-90_265-168&411_480&494-474&494_168&490_174&411_480&416-0_0_3_24_32_26_26_24-62-46.jpg,0257291666667,90_265,168&411_480&494,474&494_168&490_174&411_480&416,0_0_3_24_32_26_26_24,62,46
0315299479167-90_264-190&474_524&570-523&570_198&562_190&474_524&479-0_0_3_24_31_30_30_33-70-41.jpg,0315299479167,90_264,190&474_524&570,523&570_198&562_190&474_524&479,0_0_3_24_31_30_30_33,70,41
0437608506944-91_94-158&436_528&555-528&555_164&542_158&436_524&438-0_0_3_24_30_32_24_33-106-726.jpg,0437608506944,91_94,158&436_528&555,528&555_164&542_158&436_524&438,0_0_3_24_30_32_24_33,106,726
02939453125-89_266-186&490_501&584-492&571_186&584_190&496_501&490-0_0_3_24_24_27_30_24-73-162.jpg,02939453125,89_266,186&490_501&584,492&571_186&584_190&496_501&490,0_0_3_24_24_27_30_24,73,162
02443359375-91_267-193&408_471&496-471&496_195&486_193&408_469&413-0_0_3_24_26_29_32_32-130-242.jpg,02443359375,91_267,193&408_471&496,471&496_195&486_193&408_469&413,0_0_3_24_26_29_32_32,130,242
0423177083333-90_261-167&444_542&558-541&558_181&550_167&444_542&446-0_0_3_25_33_33_24_30-70-128.jpg,0423177083333,90_261,167&444_542&558,541&558_181&550_167&444_542&446,0_0_3_25_33_33_24_30,70,128
0102940538194-90_264-302&468_481&526-476&525_302&526_307&468_481&470-0_0_3_26_30_30_26_33-157-30.jpg,0102940538194,90_264,302&468_481&526,476&525_302&526_307&468_481&470,0_0_3_26_30_30_26_33,157,30
0129622395833-94_98-225&469_406&541-406&541_225&527_226&469_403&479-0_0_3_24_30_28_31_31-117-84.jpg,0129622395833,94_98,225&469_406&541,406&541_225&527_226&469_403&479,0_0_3_24_30_28_31_31,117,84
3022786458333333332-90_256-171&488_451&570-451&565_189&570_171&488_450&488-0_0_3_26_25_30_27_30-90-370.jpg,3022786458333333332,90_256,171&488_451&570,451&565_189&570_171&488_450&488,0_0_3_26_25_30_27_30,90,370
0141927083333-90_94-265&466_483&531-483&529_266&531_265&469_479&466-0_0_3_24_27_26_31_25-104-117.jpg,0141927083333,90_94,265&466_483&531,483&529_266&531_265&469_479&466,0_0_3_24_27_26_31_25,104,117
3046549479166666664-91_91-176&441_566&561-564&561_187&548_176&441_566&444-0_0_3_17_25_24_31_24-135-355.jpg,3046549479166666664,91_91,176&441_566&561,564&561_187&548_176&441_566&444,0_0_3_17_25_24_31_24,135,355
0318880208333-90_91-206&441_522&542-522&542_206&537_211&441_521&445-0_0_5_24_24_25_30_30-192-41.jpg,0318880208333,90_91,206&441_522&542,522&542_206&537_211&441_521&445,0_0_5_24_24_25_30_30,192,41
0270486111111-90_267-226&451_530&541-522&531_226&541_230&454_530&451-0_0_3_25_30_30_32_32-93-93.jpg,0270486111111,90_267,226&451_530&541,522&531_226&541_230&454_530&451,0_0_3_25_30_30_32_32,93,93
3004657118055555556-88_107-349&557_465&597-465&593_351&597_349&557_456&563-0_0_5_24_26_33_24_24-70-9.jpg,3004657118055555556,88_107,349&557_465&597,465&593_351&597_349&557_456&563,0_0_5_24_26_33_24_24,70,9
3030416666666666668-91_99-215&512_507&617-507&617_224&610_215&512_495&516-0_0_3_24_33_33_31_30-123-32.jpg,3030416666666666668,91_99,215&512_507&617,507&617_224&610_215&512_495&516,0_0_3_24_33_33_31_30,123,32
3019105902777777777-91_96-251&500_499&577-491&577_251&571_257&500_499&505-0_0_3_26_33_33_29_25-94-53.jpg,3019105902777777777,91_96,251&500_499&577,491&577_251&571_257&500_499&505,0_0_3_26_33_33_29_25,94,53
0248980034722-90_255-216&422_514&506-514&506_234&501_216&422_506&422-0_0_3_25_30_30_32_32-187-82.jpg,0248980034722,90_255,216&422_514&506,514&506_234&501_216&422_506&422,0_0_3_25_30_30_32_32,187,82
3024131944444444445-90_251-203&514_481&601-481&601_225&590_203&517_463&514-0_0_3_24_25_24_25_28-105-63.jpg,3024131944444444445,90_251,203&514_481&601,481&601_225&590_203&517_463&514,0_0_3_24_25_24_25_28,105,63
0222591145833-90_267-274&460_537&546-531&534_274&546_277&465_537&460-0_0_3_24_26_25_27_32-138-106.jpg,0222591145833,90_267,274&460_537&546,531&534_274&546_277&465_537&460,0_0_3_24_26_25_27_32,138,106
3035244140625-90_95-149&437_550&526-543&526_178&523_149&437_550&437-0_0_3_24_32_32_27_30-77-429.jpg,3035244140625,90_95,149&437_550&526,543&526_178&523_149&437_550&437,0_0_3_24_32_32_27_30,77,429
3030323350694444445-90_93-240&480_554&577-554&577_243&575_240&480_550&480-0_0_3_24_31_25_31_33-98-81.jpg,3030323350694444445,90_93,240&480_554&577,554&577_243&575_240&480_550&480,0_0_3_24_31_25_31_33,98,81
0309027777778-89_267-303&483_623&581-610&571_303&581_305&491_623&483-0_0_3_26_33_30_33_32-86-102.jpg,0309027777778,89_267,303&483_623&581,610&571_303&581_305&491_623&483,0_0_3_26_33_30_33_32,86,102
302894965277777778-88_89-211&431_501&531-501&520_218&531_211&431_500&442-0_0_3_27_29_27_26_26-77-7.jpg,302894965277777778,88_89,211&431_501&531,501&520_218&531_211&431_500&442,0_0_3_27_29_27_26_26,77,7
302072048611111111-92_92-222&470_470&554-466&554_226&544_222&470_470&476-0_0_3_24_27_29_29_25-148-258.jpg,302072048611111111,92_92,222&470_470&554,466&554_226&544_222&470_470&476,0_0_3_24_27_29_29_25,148,258
0254340277778-90_260-177&437_470&525-470&525_189&520_177&443_468&437-0_0_3_17_25_24_32_24-107-100.jpg,0254340277778,90_260,177&437_470&525,470&525_189&520_177&443_468&437,0_0_3_17_25_24_32_24,107,100
0139713541667-90_265-276&431_498&494-498&492_280&494_276&432_496&431-0_0_3_24_24_32_30_31-117-22.jpg,0139713541667,90_265,276&431_498&494,498&492_280&494_276&432_496&431,0_0_3_24_24_32_30_31,117,22
0217513020833-89_261-197&407_454&492-448&477_197&492_206&415_454&407-0_0_3_24_26_30_26_29-86-11.jpg,0217513020833,89_261,197&407_454&492,448&477_197&492_206&415_454&407,0_0_3_24_26_30_26_29,86,11
0169270833333-90_266-261&354_501&425-498&425_265&421_261&354_501&355-0_0_3_24_30_29_32_32-125-27.jpg,0169270833333,90_266,261&354_501&425,498&425_265&421_261&354_501&355,0_0_3_24_30_29_32_32,125,27
0129839409722-90_269-310&453_503&520-503&517_311&520_310&453_502&454-1_0_3_24_24_33_30_25-116-29.jpg,0129839409722,90_269,310&453_503&520,503&517_311&520_310&453_502&454,1_0_3_24_24_33_30_25,116,29
3018467881944444445-90_267-261&470_491&551-483&551_264&551_261&470_491&473-0_0_5_24_32_29_32_24-208-34.jpg,3018467881944444445,90_267,261&470_491&551,483&551_264&551_261&470_491&473,0_0_5_24_32_29_32_24,208,34
0167578125-90_90-249&415_483&488-475&488_249&485_249&415_483&415-0_0_3_24_28_29_30_30-142-118.jpg,0167578125,90_90,249&415_483&488,475&488_249&485_249&415_483&415,0_0_3_24_28_29_30_30,142,118
0177734375-90_264-222&404_456&481-455&481_228&473_222&404_456&406-0_9_5_25_33_33_33_33-144-26.jpg,0177734375,90_264,222&404_456&481,455&481_228&473_222&404_456&406,0_9_5_25_33_33_33_33,144,26
303673285590277778-88_92-162&411_511&517-511&503_176&517_162&424_506&411-0_0_3_24_30_29_29_26-91-216.jpg,303673285590277778,88_92,162&411_511&517,511&503_176&517_162&424_506&411,0_0_3_24_30_29_29_26,91,216
3025887586805555557-91_103-238&406_540&492-540&492_263&482_238&406_525&409-0_0_3_26_33_26_33_32-116-68.jpg,3025887586805555557,91_103,238&406_540&492,540&492_263&482_238&406_525&409,0_0_3_26_33_26_33_32,116,68
0216644965278-90_265-227&401_525&474-523&473_232&474_227&402_525&401-0_0_3_24_31_24_33_29-108-99.jpg,0216644965278,90_265,227&401_525&474,523&473_232&474_227&402_525&401,0_0_3_24_31_24_33_29,108,99
3034270833333333334-89_95-222&457_551&562-546&552_240&562_222&470_551&457-0_0_3_24_26_30_33_28-98-113.jpg,3034270833333333334,89_95,222&457_551&562,546&552_240&562_222&470_551&457,0_0_3_24_26_30_33_28,98,113
305394314236111111-90_91-140&426_609&542-609&535_150&542_140&426_608&433-0_0_3_27_31_32_29_32-131-396.jpg,305394314236111111,90_91,140&426_609&542,609&535_150&542_140&426_608&433,0_0_3_27_31_32_29_32,131,396
3022630208333333332-91_101-196&480_460&566-446&566_196&558_216&480_460&494-0_0_3_24_27_30_31_33-100-91.jpg,3022630208333333332,91_101,196&480_460&566,446&566_196&558_216&480_460&494,0_0_3_24_27_30_31_33,100,91
301650390625-89_95-253&426_487&497-483&492_257&497_253&428_487&426-0_0_5_25_24_24_24_30-111-179.jpg,301650390625,89_95,253&426_487&497,483&492_257&497_253&428_487&426,0_0_5_25_24_24_24_30,111,179
3012369791666666666-91_99-250&450_450&513-450&513_250&507_253&450_444&461-0_0_3_24_29_27_29_25-162-17.jpg,3012369791666666666,91_99,250&450_450&513,450&513_250&507_253&450_444&461,0_0_3_24_29_27_29_25,162,17
3023845486111111112-92_103-266&470_534&560-534&560_286&549_266&470_519&474-0_0_3_28_29_30_28_29-122-245.jpg,3023845486111111112,92_103,266&470_534&560,534&560_286&549_266&470_519&474,0_0_3_28_29_30_28_29,122,245
0324858940972-91_94-216&442_545&541-538&541_218&529_216&442_545&451-0_0_3_24_26_25_31_31-77-87.jpg,0324858940972,91_94,216&442_545&541,538&541_218&529_216&442_545&451,0_0_3_24_26_25_31_31,77,87
0307779947917-89_269-218&386_523&488-523&472_220&488_218&396_521&386-0_0_3_25_27_29_27_27-127-123.jpg,0307779947917,89_269,218&386_523&488,523&472_220&488_218&396_521&386,0_0_3_25_27_29_27_27,127,123
300931640625-88_94-310&490_469&549-468&541_317&549_310&492_469&490-0_0_3_24_33_32_27_27-112-32.jpg,300931640625,88_94,310&490_469&549,468&541_317&549_310&492_469&490,0_0_3_24_33_32_27_27,112,32
0182269965278-89_90-267&450_494&531-494&519_267&531_267&455_493&450-0_0_3_24_28_33_29_32-127-14.jpg,0182269965278,89_90,267&450_494&531,494&519_267&531_267&455_493&450,0_0_3_24_28_33_29_32,127,14
303721788194444445-91_260-145&449_495&557-493&557_157&541_145&449_495&462-0_0_3_24_31_29_32_32-126-636.jpg,303721788194444445,91_260,145&449_495&557,493&557_157&541_145&449_495&462,0_0_3_24_31_29_32_32,126,636
0176171875-90_269-232&472_478&544-476&544_232&544_233&472_478&473-0_0_3_25_33_32_32_33-101-76.jpg,0176171875,90_269,232&472_478&544,476&544_232&544_233&472_478&473,0_0_3_25_33_32_32_33,101,76
014833984375-90_267-233&472_450&541-449&541_235&535_233&472_450&476-0_0_3_24_31_25_30_32-85-32.jpg,014833984375,90_267,233&472_450&541,449&541_235&535_233&472_450&476,0_0_3_24_31_25_30_32,85,32
0144921875-90_100-235&505_447&574-438&571_235&574_241&505_447&509-0_0_3_26_30_30_30_33-108-28.jpg,0144921875,90_100,235&505_447&574,438&571_235&574_241&505_447&509,0_0_3_26_30_30_30_33,108,28
3024739583333333332-90_90-215&496_500&584-500&582_221&584_215&496_500&501-10_2_3_24_33_30_32_31-114-507.jpg,3024739583333333332,90_90,215&496_500&584,500&582_221&584_215&496_500&501,10_2_3_24_33_30_32_31,114,507
30322265625-92_98-173&474_503&573-503&573_195&558_173&474_495&488-0_0_3_24_31_29_31_30-64-91.jpg,30322265625,92_98,173&474_503&573,503&573_195&558_173&474_495&488,0_0_3_24_31_29_31_30,64,91
0165494791667-89_266-234&461_480&529-480&526_234&529_236&469_480&461-0_0_3_26_33_33_29_30-119-47.jpg,0165494791667,89_266,234&461_480&529,480&526_234&529_236&469_480&461,0_0_3_26_33_33_29_30,119,47
3011059027777777777-92_90-261&518_443&580-443&580_261&572_261&518_443&526-0_0_3_28_30_33_27_26-127-70.jpg,3011059027777777777,92_90,261&518_443&580,443&580_261&572_261&518_443&526,0_0_3_28_30_33_27_26,127,70
3025954861111111113-90_91-222&499_521&586-521&586_222&584_226&499_520&504-0_0_3_24_30_25_29_25-108-60.jpg,3025954861111111113,90_91,222&499_521&586,521&586_222&584_226&499_520&504,0_0_3_24_30_25_29_25,108,60
00873480902778-90_267-229&408_390&462-390&461_231&462_229&410_387&408-0_0_3_24_24_26_25_33-129-34.jpg,00873480902778,90_267,229&408_390&462,390&461_231&462_229&410_387&408,0_0_3_24_24_26_25_33,129,34
0188368055556-91_264-206&462_454&539-452&539_211&529_206&462_454&470-0_0_3_17_25_28_24_31-100-70.jpg,0188368055556,91_264,206&462_454&539,452&539_211&529_206&462_454&470,0_0_3_17_25_28_24_31,100,70
0162467447917-92_95-220&492_437&567-437&567_221&557_220&492_434&501-0_0_3_24_24_25_24_30-95-87.jpg,0162467447917,92_95,220&492_437&567,437&567_221&557_220&492_434&501,0_0_3_24_24_25_24_30,95,87
0283919270833-90_269-254&421_548&518-547&518_255&509_254&421_548&425-0_0_3_24_26_32_29_33-156-220.jpg,0283919270833,90_269,254&421_548&518,547&518_255&509_254&421_548&425,0_0_3_24_26_32_29_33,156,220
0184559461806-93_252-212&413_445&493-419&493_212&491_239&413_445&426-0_0_3_24_33_29_28_30-115-78.jpg,0184559461806,93_252,212&413_445&493,419&493_212&491_239&413_445&426,0_0_3_24_33_29_28_30,115,78
3018389756944444443-93_100-273&446_496&529-496&529_279&515_273&446_488&448-0_0_3_24_33_30_32_31-82-101.jpg,3018389756944444443,93_100,273&446_496&529,496&529_279&515_273&446_488&448,0_0_3_24_33_30_32_31,82,101
0286458333333-91_94-156&472_431&577-425&577_156&572_167&472_431&485-0_0_3_24_33_33_33_25-92-88.jpg,0286458333333,91_94,156&472_431&577,425&577_156&572_167&472_431&485,0_0_3_24_33_33_33_25,92,88
3018828125-92_105-254&446_495&525-495&525_268&515_254&446_480&448-0_0_3_25_30_30_24_33-107-189.jpg,3018828125,92_105,254&446_495&525,495&525_268&515_254&446_480&448,0_0_3_25_30_30_24_33,107,189
03115234375-90_257-146&460_476&555-449&543_146&555_165&461_476&460-0_0_3_24_31_29_29_32-118-137.jpg,03115234375,90_257,146&460_476&555,449&543_146&555_165&461_476&460,0_0_3_24_31_29_29_32,118,137
0144683159722-90_266-278&461_504&526-504&526_281&525_278&464_503&461-0_0_3_24_27_30_33_32-99-24.jpg,0144683159722,90_266,278&461_504&526,504&526_281&525_278&464_503&461,0_0_3_24_27_30_33_32,99,24
0182682291667-91_261-208&421_452&496-452&496_216&490_208&421_447&427-0_0_3_24_26_29_26_32-146-80.jpg,0182682291667,91_261,208&421_452&496,452&496_216&490_208&421_447&427,0_0_3_24_26_29_26_32,146,80
0268098958333-91_268-196&478_480&573-478&573_196&563_200&478_480&485-0_0_3_24_29_24_32_26-87-50.jpg,0268098958333,91_268,196&478_480&573,478&573_196&563_200&478_480&485,0_0_3_24_29_24_32_26,87,50
0232302517361-90_261-219&374_490&460-490&460_229&448_219&374_486&375-0_0_3_25_30_30_32_32-120-117.jpg,0232302517361,90_261,219&374_490&460,490&460_229&448_219&374_486&375,0_0_3_25_30_30_32_32,120,117
032880859375-88_271-228&407_561&506-559&499_229&506_228&422_561&407-0_0_3_24_31_29_29_32-103-161.jpg,032880859375,88_271,228&407_561&506,559&499_229&506_228&422_561&407,0_0_3_24_31_29_29_32,103,161
027434895833333334-89_254-178&453_472&547-472&546_201&547_178&460_456&453-0_0_3_17_25_28_30_33-121-175.jpg,027434895833333334,89_254,178&453_472&547,472&546_201&547_178&460_456&453,0_0_3_17_25_28_30_33,121,175
0292274305556-90_266-229&443_525&542-522&531_229&542_235&445_525&443-0_0_5_24_24_26_30_32-140-368.jpg,0292274305556,90_266,229&443_525&542,522&531_229&542_235&445_525&443,0_0_5_24_24_26_30_32,140,368
